               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.030843,            0.015771,            0.033013,             0.62145,             0.61899,             0.65524,             0.35519,            0.032589,           0.0058232,            0.027323,            0.001486,            0.001486,            0.001486
                 131,            0.030686,            0.015669,            0.032889,             0.62115,              0.6193,             0.65529,             0.35557,            0.032588,            0.005824,            0.027327,             0.00142,             0.00142,             0.00142
                 132,            0.030472,            0.015565,            0.032609,             0.62032,             0.62233,             0.65675,             0.35645,             0.03258,           0.0058237,            0.027322,            0.001354,            0.001354,            0.001354
                 133,            0.030522,            0.015499,            0.032723,             0.62035,             0.62387,             0.65692,             0.35656,            0.032573,           0.0058233,            0.027337,            0.001288,            0.001288,            0.001288
                 134,            0.030428,            0.015733,             0.03285,             0.61879,             0.62921,             0.65713,             0.35711,            0.032573,           0.0058227,            0.027339,            0.001222,            0.001222,            0.001222
                 135,            0.030551,            0.015504,            0.032119,             0.61853,             0.63255,             0.65762,             0.35757,            0.032572,           0.0058225,            0.027338,            0.001156,            0.001156,            0.001156
                 136,            0.030247,            0.015659,            0.032034,             0.61931,             0.63423,             0.65811,             0.35741,             0.03257,           0.0058222,            0.027344,             0.00109,             0.00109,             0.00109
                 137,            0.030296,            0.015441,            0.032268,             0.62168,             0.63437,             0.65835,             0.35764,            0.032567,           0.0058217,            0.027344,            0.001024,            0.001024,            0.001024
                 138,            0.030459,            0.015435,            0.031866,             0.61903,             0.63698,             0.65823,             0.35792,            0.032562,           0.0058218,            0.027362,            0.000958,            0.000958,            0.000958
                 139,            0.030472,            0.015383,            0.032289,             0.61993,             0.63875,             0.65837,             0.35762,            0.032562,            0.005822,            0.027367,            0.000892,            0.000892,            0.000892
                 140,            0.030321,            0.015434,            0.032037,             0.61974,              0.6418,             0.66073,             0.35842,            0.032561,           0.0058219,            0.027374,            0.000826,            0.000826,            0.000826
                 141,            0.030085,             0.01551,            0.031998,             0.62137,             0.64229,             0.66133,             0.35878,            0.032556,           0.0058217,             0.02738,             0.00076,             0.00076,             0.00076
                 142,            0.030156,            0.015368,            0.031852,             0.62705,             0.63459,              0.6615,             0.35886,            0.032548,           0.0058227,            0.027386,            0.000694,            0.000694,            0.000694
                 143,            0.030013,            0.015411,            0.032175,             0.62125,             0.64194,             0.66145,             0.35902,            0.032543,           0.0058228,            0.027403,            0.000628,            0.000628,            0.000628
                 144,            0.030153,            0.015487,             0.03191,             0.62334,               0.642,             0.66154,             0.35985,            0.032537,           0.0058232,            0.027405,            0.000562,            0.000562,            0.000562
                 145,            0.029835,            0.015394,            0.031854,              0.6208,              0.6415,             0.66163,             0.35875,            0.032538,           0.0058236,            0.027412,            0.000496,            0.000496,            0.000496
                 146,            0.029628,            0.015395,            0.031201,             0.62163,              0.6411,             0.66158,             0.35978,             0.03254,           0.0058231,            0.027422,             0.00043,             0.00043,             0.00043
                 147,            0.029748,            0.015492,            0.032051,             0.62185,             0.64284,              0.6621,             0.35974,            0.032543,           0.0058238,             0.02743,            0.000364,            0.000364,            0.000364
                 148,            0.029748,             0.01542,            0.031331,             0.62049,             0.64349,              0.6623,             0.36034,            0.032544,            0.005824,            0.027435,            0.000298,            0.000298,            0.000298
                 149,            0.029443,            0.015315,            0.031059,             0.62852,             0.64008,             0.66273,             0.36068,            0.032537,           0.0058247,            0.027446,            0.000232,            0.000232,            0.000232
